time,open,high,low,close,volume,symbol
2025-12-16,54.5,54.5,49.1,50.8,14838900,VCK
2025-12-17,50.0,52.5,48.0,52.4,6551600,VCK
2025-12-18,52.4,53.2,51.3,52.6,4803500,VCK
2025-12-19,52.8,53.0,51.9,52.6,1968700,VCK
2025-12-22,52.5,52.5,51.8,51.9,1816800,VCK
2025-12-23,51.9,51.9,50.5,50.5,2960400,VCK
2025-12-24,50.5,50.5,49.5,50.0,2367100,VCK
2025-12-25,50.2,50.5,49.0,49.0,2038200,VCK
2025-12-26,48.55,49.25,48.3,48.6,2091500,VCK
2025-12-29,48.4,49.95,48.2,49.7,3001300,VCK
2025-12-30,49.9,50.1,49.8,49.9,1167000,VCK
2025-12-31,50.2,50.2,49.8,50.1,1532300,VCK
2026-01-05,49.1,49.95,48.6,48.65,915600,VCK
2026-01-06,48.65,49.15,48.35,48.6,1316100,VCK
2026-01-07,48.7,49.15,48.5,48.5,2191900,VCK
2026-01-08,48.05,48.9,48.05,48.2,2199100,VCK
2026-01-09,48.15,48.4,46.0,46.0,3424500,VCK
2026-01-12,45.95,49.0,44.7,47.15,4187900,VCK
2026-01-13,47.25,48.5,47.1,47.5,2754900,VCK
2026-01-14,47.55,48.0,46.25,46.3,3200600,VCK
2026-01-15,46.4,47.25,46.15,46.65,2747700,VCK
2026-01-16,46.95,47.0,46.2,46.45,3000100,VCK
2026-01-19,46.5,48.45,46.2,48.0,4445800,VCK
2026-01-20,48.3,48.45,47.85,47.9,3457000,VCK
2026-01-21,47.6,47.65,46.4,47.0,2348300,VCK
2026-01-22,47.3,47.3,46.45,47.05,2663700,VCK
2026-01-23,47.05,47.55,46.6,47.5,2706800,VCK
2026-01-26,47.5,47.6,46.15,46.5,2088800,VCK
2026-01-27,46.5,47.0,46.2,46.7,1555500,VCK
2026-01-28,46.8,46.8,46.0,46.25,1642900,VCK
2026-01-29,46.2,46.5,46.0,46.1,1265400,VCK
2026-01-30,46.1,46.45,45.7,45.9,2204500,VCK
2026-02-02,46.0,46.0,45.2,45.2,1648500,VCK
2026-02-03,45.3,45.9,45.1,45.75,2590300,VCK
2026-02-04,45.95,46.5,45.15,45.2,2595400,VCK
2026-02-05,45.6,45.6,44.65,44.65,1885500,VCK
2026-02-06,44.4,44.4,42.8,42.8,2423800,VCK
2026-02-09,43.0,43.0,42.1,42.7,1435900,VCK
2026-02-10,43.0,45.65,42.4,45.65,3065700,VCK
