time,open,high,low,close,volume,symbol
2025-02-10,61.693,61.693,61.029,61.229,2298100,VCB
2025-02-11,61.229,61.295,60.896,61.029,1039400,VCB
2025-02-12,61.029,61.428,60.764,60.764,1054100,VCB
2025-02-13,61.029,61.029,60.697,60.83,862300,VCB
2025-02-14,61.229,61.229,60.764,60.83,947800,VCB
2025-02-17,60.764,61.096,60.764,60.83,787100,VCB
2025-02-18,60.83,61.096,60.697,60.83,1065500,VCB
2025-02-19,60.83,60.896,60.631,60.896,1509500,VCB
2025-02-20,61.229,61.295,60.896,60.896,1636600,VCB
2025-02-21,61.162,61.826,61.162,61.826,2513400,VCB
2025-02-24,61.959,62.092,61.561,62.092,1956000,VCB
2025-02-25,62.092,62.158,61.428,61.494,1926600,VCB
2025-02-26,61.494,61.693,61.229,61.295,769200,VCB
2025-02-27,63.022,63.354,62.424,62.424,5028800,VCB
2025-02-28,62.557,62.557,61.959,61.959,2070800,VCB
2025-03-03,62.092,62.092,61.76,61.959,1251000,VCB
2025-03-04,61.893,62.025,61.561,61.76,2498900,VCB
2025-03-05,61.76,62.291,61.76,61.76,1820200,VCB
2025-03-06,62.092,62.557,61.893,62.092,2357600,VCB
2025-03-07,62.158,63.287,62.092,63.154,3999500,VCB
2025-03-10,64.018,64.682,63.818,64.283,4428800,VCB
2025-03-11,63.752,64.283,63.486,64.283,3640200,VCB
2025-03-12,65.525,68.106,65.128,66.22,7560300,VCB
2025-03-13,66.716,66.716,64.731,65.028,4496300,VCB
2025-03-14,64.929,66.319,64.929,65.525,4920600,VCB
2025-03-17,65.525,66.815,65.525,66.815,4940800,VCB
2025-03-18,67.312,67.312,66.319,66.319,3656000,VCB
2025-03-19,66.716,66.716,66.021,66.021,3674000,VCB
2025-03-20,66.021,66.518,65.723,66.319,1688900,VCB
2025-03-21,66.518,66.518,65.525,65.525,1701500,VCB
2025-03-24,65.823,66.021,65.028,66.021,1977600,VCB
2025-03-25,66.021,66.12,65.723,65.723,2028100,VCB
2025-03-26,65.922,66.12,65.326,65.326,1507400,VCB
2025-03-27,65.326,65.426,65.028,65.028,901500,VCB
2025-03-28,65.028,65.227,64.333,64.333,1650600,VCB
2025-03-31,64.234,64.731,63.539,63.539,1771900,VCB
